bin_selection,time,x,xerr,x2,xerr2,n,v,verr,diodes_diode,diodes_diodeerr,diodes_m2,diodes_m2err,y,yerr
87,77683447.40916966,13002.746678192138,5.9773133768207535e-05,12816.471112189147,3.7979642619584124e-06,592.0,39991.52344054117,0.012671979490102053,0.03340307460536857,0.0011029191100328677,0.02581712362681703,0.030868614463321023,70.0,8.366600265340756
88,77683443.12878135,13002.74688360747,6.048637537483955e-05,12816.471109550735,5.397302835873203e-06,520.0,39991.54328000034,0.008876436301187049,0.033662722543341975,0.0010436650139460906,0.02261699592350049,0.03133129602525725,84.0,9.16515138991168
89,77683439.30789949,13002.747081416785,5.426232163303306e-05,12816.471107415571,3.159643248892849e-06,482.0,39991.48790000006,0.0,0.03419033098402818,0.0009237222873880736,0.02250375755410725,0.03145939382582626,81.0,9.0
90,77683435.46519253,13002.747282932967,5.5083430470850935e-05,12816.47110853774,4.559586247046288e-06,523.0,39991.54371644384,0.03826581707776378,0.034827046422672196,0.0010606616068368142,0.020488711794831357,0.02980340758713116,60.0,7.745966692414834
91,77683431.66162905,13002.747475660835,5.552316984606324e-05,12816.471109820119,4.2677434922192905e-06,478.0,39991.561479498014,0.01182794891240443,0.035184950728158006,0.0011687993465242697,0.01974243825937553,0.029346518288627072,68.0,8.246211251235321
92,77683427.8244112,13002.747675754645,6.336863691633626e-05,12816.471110525481,4.11957890702336e-06,519.0,39991.54345973034,0.006408495863539851,0.035729620846129996,0.001214982757995578,0.021662312420462997,0.03042842540181326,63.0,7.937253933193772
93,77683423.9695643,13002.747883491455,6.0750510466298334e-05,12816.471113325942,4.159750968712884e-06,479.0,39991.51500000027,0.0,0.03639157617458228,0.0013127159967519437,0.02205530427320394,0.029828323702830093,92.0,9.591663046625438
94,77683420.27533874,13002.748086074138,5.657988059745205e-05,12816.47110991739,5.958244339625947e-06,486.0,39991.49723703735,0.012399020025808085,0.036908825068518246,0.0012028047872690436,0.02338478850136848,0.03138974454058745,93.0,9.643650760992955
95,77683416.42429645,13002.748292392042,5.853121205651049e-05,12816.471112448859,3.755101234184741e-06,517.0,39991.51851412039,0.041146081856429643,0.03785210973194146,0.0012017568120131726,0.024325255946658443,0.03050917166054484,77.0,8.774964387392123
96,77683412.72640084,13002.748485908416,5.194637067277092e-05,12816.471112548365,2.720539515911963e-06,447.0,39991.57499999966,0.0,0.037960557511078706,0.0012590975922691571,0.022004135021978607,0.03169174667241329,75.0,8.660254037844387
97,77683409.03920479,13002.748694666918,5.8658201053364536e-05,12816.471111399112,3.6300208387933696e-06,518.0,39991.49033513544,0.022813046443673362,0.03894432489885366,0.0014657624342792046,0.025956664937794322,0.03184667566821289,221.0,14.866068747318506
98,77683405.07322319,13002.748889170167,5.435105300643908e-05,12816.471112037643,3.4926033331303693e-06,522.0,39991.50111934875,0.012338493266282244,0.04006269414954954,0.0013125739433641093,0.024584074180966205,0.03010183982435049,232.0,15.231546211727817
99,77683401.09929778,13002.749080682368,5.535183211141391e-05,12816.471111044324,2.2950447171426915e-06,520.0,39991.500553076614,0.012236284434910493,0.04119079458752724,0.0011532341296376623,0.024385627910372572,0.02999590825505811,184.0,13.564659966250536
100,77683397.09774336,13002.749275432874,5.619032755140072e-05,12816.47111416222,2.9872686302928656e-06,526.0,39991.49338003807,0.024839344379216307,0.04224464573727925,0.0011267560728485577,0.025383537364522278,0.03010583975605053,333.0,18.24828759089466
